anio,cve_ent,metodo,perdida
2008,30,isimip2a,8087004893.733604
2008,31,isimip2a,2558582.1969491728
2008,32,isimip2a,0.0
2009,01,isimip2a,0.0
2009,02,isimip2a,783617835.5539902
2009,03,isimip2a,6830.331778224698
2009,04,isimip2a,91326244.78240986
2009,05,isimip2a,545663757.1401194
2009,06,isimip2a,11047591.069604946
2009,07,isimip2a,1032419448.6812292
2009,08,isimip2a,1167740736.2301164
2009,09,isimip2a,2042417124.276341
2009,10,isimip2a,19284934.46606356
2009,11,isimip2a,21515726.53466582
2009,12,isimip2a,125931397.16209865
2009,13,isimip2a,365337145.7230447
2009,14,isimip2a,34600120.778344706
2009,15,isimip2a,5242549789.418315
2009,16,isimip2a,356056942.05609834
2009,17,isimip2a,0.0
2009,18,isimip2a,111024311.897659
2009,19,isimip2a,54923.01085782355
2009,20,isimip2a,2172823676.8071694
2009,21,isimip2a,79149953.94499777
2009,22,isimip2a,417653.6222703558
2009,23,isimip2a,28473543.448715333
2009,24,isimip2a,424098641.4293432
2009,25,isimip2a,2544153373.3986874
2009,26,isimip2a,70253850.49939543
2009,27,isimip2a,9944375853.565886
2009,28,isimip2a,2236343618.7098846
2009,29,isimip2a,11388512.453567889
2009,30,isimip2a,6457202877.276751
2009,31,isimip2a,772469.7053514888
2009,32,isimip2a,0.0
2010,01,isimip2a,0.0
2010,02,isimip2a,788676034.1699135
2010,03,isimip2a,2219.9181837485553
2010,04,isimip2a,54010159.873129345
2010,05,isimip2a,477665767.9398943
2010,06,isimip2a,11419537.202238113
2010,07,isimip2a,1915187460.3026161
2010,08,isimip2a,1176253207.8621142
2010,09,isimip2a,2226909985.8087435
2010,10,isimip2a,13424704.700254949
2010,11,isimip2a,3313406406.635511
2010,12,isimip2a,182062932.73901445
2010,13,isimip2a,392491558.7585096
2010,14,isimip2a,81514303.81853141
2010,15,isimip2a,5610117220.002558
2010,16,isimip2a,844049701.1901287
2010,17,isimip2a,390368132.2544285
2010,18,isimip2a,127771955.19808337
2010,19,isimip2a,26940341.845339373
2010,20,isimip2a,3129436090.8484526
2010,21,isimip2a,92534479.59614642
2010,22,isimip2a,802347.6939038836
2010,23,isimip2a,21048259.384159647
2010,24,isimip2a,666686513.6395333
2010,25,isimip2a,1930192912.8183792
2010,26,isimip2a,48815739.898953915
2010,27,isimip2a,25438551630.94999
2010,28,isimip2a,3207326104.800634
2010,29,isimip2a,16674994.237819424
2010,30,isimip2a,10139757106.410315
2010,31,isimip2a,1383435.6078064945
2010,32,isimip2a,0.0
2000,01,glofas,383000753.143697
2000,02,glofas,56781953.97843149
2000,03,glofas,10.000205823509864
2000,04,glofas,176893997.03765363
2000,05,glofas,855221282.716282
